"id","clinic_name_th","clinic_name_en","alias","xeomin_flag","belotero_flag","ulthera_flag","province","district","website","facebook","tel","latitude","longtitude","xeomin","x_beauty","belotero","skin_radiance","ulthera"
1,"ทรีดีเลเซอร์คลินิกเวชกรรม","3D Laser clinic","ทรีดีเลเซอร์คลินิกเวชกรรม","N","N","N","กาฬสินธุ์","เมืองกาฬสินธุ์","","https://www.facebook.com/3dlaserclinic/","090 778 8978",16.430403,103.501991,"Y","N","N","N","N"
2,"คลินิกสุขภาพและความงามเชียงใหม่","4649 Clinic","คลินิกสุขภาพและความงามเชียงใหม่","N","N","N","เชียงใหม่","เมืองเชียงใหม่","http://www.4649clinic.com/","https://www.facebook.com/4649clinic/","053 234 657",18.793944,98.996905,"Y","N","N","N","Y"
3,"4B คลินิก","4B clinic","4B คลินิก","N","N","N","กรุงเทพมหานคร","เขตวัฒนา","https://www.4bclinic.com/","https://www.facebook.com/4bclinic","098-193-5956",13.7317335,100.5782457,"Y","N","N","N","N"
4,"ฟิฟตี้ฟิฟท์ คลินิก","55th  Laser Clinic","ฟิฟตี้ฟิฟท์ คลินิก","N","N","N","กรุงเทพมหานคร","เขตบางรัก","http://www.55laser.com/","https://www.facebook.com/55laser","02 231 3394",13.7280471,100.5347587,"N","N","N","N","Y"
5,"เอบีซี คลินิก","A B C  CLINIC","เอบีซี คลินิก","N","N","N","อุดรธานี","เมืองอุดรธานี","","https://m.facebook.com/abcclinicud/","064 794 7152",17.4082221,102.8043897,"N","N","Y","N","N"
6,"แอปโซลูท บิวตี้ คลินิก","Absolute Beauty Clinic","แอปโซลูท บิวตี้ คลินิก","N","N","N","กรุงเทพมหานคร","เขตวัฒนา","https://www.absolutebeauty-clinic.com/","https://www.facebook.com/absolutebeautyclinicth/","085 907 7272",13.7332363,100.5843906,"N","N","N","N","Y"
7,"อะแคนธัชคลินิค","ACANTUS CLINIC","อะแคนธัชคลินิค","N","N","N","นนทบุรี","ปากเกร็ด","","https://www.facebook.com/acantusclinic","02 982 9922",13.9041832,100.534047,"Y","N","N","N","N"
8,"เอศิเลนศิ์ คลีนิก","Acellence Clinic","เอศิเลนศิ์ คลีนิก","N","N","N","กรุงเทพมหานคร","เขตปทุมวัน","https://www.acellenceclinic.com/","https://www.facebook.com/Acellence/","02 689 6362/084-694-",13.739353,100.546424,"N","N","N","N","Y"
9,"แอคทีว่า คลินิก","Activa Clinic","แอคทีว่า คลินิก","N","N","N","กรุงเทพมหานคร","เขตลาดพร้าว","","","087-424-4144/02-553-",NULL,NULL,"Y","N","Y","N","N"
10,"เอดีน่า คลีนิก","Adena Clinic","เอดีน่า คลีนิก","N","N","N","กรุงเทพมหานคร","เขตคลองเตย","https://www.adenaa.com/","https://www.facebook.com/3d.eyebrows.Adenaa","093 365 0700",13.7188019,100.5853208,"N","N","N","N","Y"
11,"คลินิกเวชกรรม นายแพทย์โชคชัย","Doctor Chockchai Clinic","คลินิกเวชกรรม นายแพทย์โชคชัย","N","N","N","พิษณุโลก","เมืองพิษณุโลก","","https://www.facebook.com/AdvancedPhitsanulok/","055 052 044",16.8246033,100.2560386,"N","N","Y","N","N"
12,"เอสเธอเมด คลินิก","Aesthemed clinic","เอสเธอเมด คลินิก","N","N","N","ชลบุรี","ศรีราชา","","https://www.facebook.com/pages/category/Medical---Health/AestheMed-Clinic-Pattaya-%E0%B9%80%E0%B8%AD%E0%B8%AA%E0%B9%80%E0%B8%98%E0%B8%AD%E0%B9%80%E0%B8%A1%E0%B8%94-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99","062 9946 696",13.1688804,100.9307982,"N","N","Y","N","N"
15,"เอลิซซ่า คลินิก เซ็นทรัล ปิ่นเกล้า","Alyssa Clinic Central Pinklao","เอลิซซ่า คลินิก เซ็นทรัล ปิ่นเกล้า","N","N","N","กรุงเทพมหานคร","เขตบางกอกน้อย","http://alyssaclinic.com/","https://www.facebook.com/alyssaclinic/","02-884-9081-2",13.6976976,100.537483,"Y","Y","Y","Y","Y"
16,"อมารันเต้ คลินิก","Amarante Clinic","อมารันเต้ คลินิก","N","N","N","กรุงเทพมหานคร","เขตบางนา","https://amaranteclinic.com/","https://www.facebook.com/amaranteclinic/","080-556-5294",13.7314184,100.5195666,"Y","N","Y","N","Y"
17,"คลินิกศัลยกรรมตกแต่งอัมรินทร์","Amarin Plastic Surgery Clinic","คลินิกศัลยกรรมตกแต่งอัมรินทร์","N","N","N","กรุงเทพมหานคร","เขตบางกอกน้อย","","","02 433 2747",13.7636949,100.4825481,"N","N","Y","N","N"
18,"อันดาคลินิก สาขา นครสวรรค์","Anda Clinic, Nakhonsawan","อันดาคลินิก สาขา นครสวรรค์","N","N","N","นครสวรรค์","เมืองนครสวรรค์","","https://www.facebook.com/ANDACLINIC/","095 354 5666",15.7029411,100.1362858,"Y","N","Y","N","Y"
19,"แอนน่า คลินิก","Anna clinic","แอนน่า คลินิก","N","N","N","กรุงเทพมหานคร","เขตบางกอกน้อย","http://anna-clinic.com/","https://www.facebook.com/Annaclinic/","089-996-2292",13.7759561,100.4788662,"N","N","Y","N","Y"
20,"อภิชาตคลินิก","Apichart Clinic","อภิชาตคลินิก","N","N","N","ชลบุรี","บางละมุง","http://www.apichartclinic.com/","https://www.facebook.com/acclinic/","064 236 4936",13.3455876,100.9685208,"N","N","Y","N","N"
21,"คลินิกศัลยกรรมความงาม เอ-พลัส คอสเมติก","Aplus Cosmetic Clinic","คลินิกศัลยกรรมความงาม เอ-พลัส คอสเมติก","N","N","N","กรุงเทพมหานคร","เขตจตุจักร","http://www.aplus-clinic.co.th/","https://web.facebook.com/Aplusclinic/?_rdc=1&_rdr","088 022 2201",13.81366,100.561584,"N","N","N","N","Y"
22,"เอรียา บิวตี้คลินิก","Areeya clinic","เอรียา บิวตี้คลินิก","N","N","N","กรุงเทพมหานคร","เขตห้วยขวาง","","https://www.facebook.com/Areeyaclinic/","02-692-5725",13.7785308,100.5761358,"Y","N","Y","N","N"
23,"อเธน่าคลินิก","Athena clinic","อเธน่าคลินิก","N","N","N","กรุงเทพมหานคร","เขตสาทร","http://athenaclinicbangkok.com/","https://www.facebook.com/AthenaClinicBangkok","02 677 7478",13.725578,100.544383,"N","N","N","N","Y"
24,"แอมเบอร์ คลินิก","Amber Clinic","แอมเบอร์ คลินิก","N","N","N","กรุงเทพมหานคร","เขตพญาไท","","https://www.facebook.com/AtomClinicAree/","02 619 9998",13.7833703,100.5421428,"Y","Y","Y","Y","N"
