name,categories,address,lat,lng,labeledLatLngs,distance,cc,city,state,country,formattedAddress,crossStreet,postalCode,id
A.T.1 Dental Clinic (เอ.ที.1 ทันตคลีนิก),Dentist's Office,131/5 มูลเมือง,18.79069805145209,98.993556,"[{'label': 'display', 'lat': 18.79069805145209, 'lng': 98.993556}]",580,TH,Sri Phum,เชียงใหม่,ประเทศไทย,"['131/5 มูลเมือง', 'Sri Phum', 'เชียงใหม่', 'ประเทศไทย']",,,4cf61fae9d11b1f7d8a3beed
Dental Clinic at Chiangmai Ram Hospital,Dentist's Office,8,18.795046050334687,98.97776126861572,"[{'label': 'display', 'lat': 18.795046050334687, 'lng': 98.97776126861572}]",1179,TH,Muang,เชียงใหม่,ประเทศไทย,"['8 (Boonreungrit)', 'Muang', 'เชียงใหม่ 50200', 'ประเทศไทย']",Boonreungrit,50200,4cd776957da9a35d632df5b9
Funsabai1 Dental Clinic,Dentist's Office,,18.793557267432675,98.99339665160431,"[{'label': 'display', 'lat': 18.793557267432675, 'lng': 98.99339665160431}]",637,TH,,,ประเทศไทย,['ประเทศไทย'],,,4cd8af807d454688e818eded
GrandDent Dental Clinic (ทันตแพทย์ ทองนารถ-ปริฉัตร),Dentist's Office,"Mahidol Road, Hai Ya",18.773916006522715,98.97633477104496,"[{'label': 'display', 'lat': 18.773916006522715, 'lng': 98.97633477104496}]",2255,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['Mahidol Road, Hai Ya', 'เมืองเชียงใหม่', 'เชียงใหม่ 50200', 'ประเทศไทย']",,50200,52c77734498efab77148e69c
Mukmai Dental Clinic,Dentist's Office,11/3-4 Behind Three Kings Monument Jaban rd,18.789797840252177,98.98595777470786,"[{'label': 'display', 'lat': 18.789797840252177, 'lng': 98.98595777470786}]",250,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['11/3-4 Behind Three Kings Monument Jaban rd', 'เมืองเชียงใหม่', 'เชียงใหม่ 50200', 'ประเทศไทย']",,50200,4c34196316adc928b7b6c49c
Sakda Dental Clinic,Dentist's Office,,18.790066096357815,98.99486128310315,"[{'label': 'display', 'lat': 18.790066096357815, 'lng': 98.99486128310315}]",723,TH,ช้างม่อย,จ.เชียงใหม่,ประเทศไทย,"['ช้างม่อย', 'จ.เชียงใหม่', 'ประเทศไทย']",,,4cbedd208db3b60c8fac7478
Thanin Dental Clinic (ธานินทร์คลินิกทันตกรรม),Dentist's Office,"Chotana Road, Chang Phuak",18.804286347696017,98.98598474543815,"[{'label': 'display', 'lat': 18.804286347696017, 'lng': 98.98598474543815}]",1508,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['Chotana Road, Chang Phuak', 'เมืองเชียงใหม่', 'เชียงใหม่ 50200', 'ประเทศไทย']",,50200,4eec204baa1f98ce643c26de
Dental Clinic (คลินิกทันตกรรม),Dentist's Office,"Kaew Nawarat Road, Watket",18.79740882155741,99.00998155909427,"[{'label': 'display', 'lat': 18.79740882155741, 'lng': 99.00998155909427}]",2423,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['Kaew Nawarat Road, Watket', 'เมืองเชียงใหม่', 'เชียงใหม่ 50000', 'ประเทศไทย']",,50000,4db91a7b4b22a2fe44eb1c5f
Sumpan Dental Clinic,Dentist's Office,,18.787696,98.985876,"[{'label': 'display', 'lat': 18.787696, 'lng': 98.985876}]",421,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['เมืองเชียงใหม่', 'เชียงใหม่', 'ประเทศไทย']",,,4ddce97c22713339cd1fcafa
Family dental clinic,Dentist's Office,,18.789660526697904,98.98363832641238,"[{'label': 'display', 'lat': 18.789660526697904, 'lng': 98.98363832641238}]",484,TH,Sri Phum,เชียงใหม่,ประเทศไทย,"['Sri Phum', 'เชียงใหม่', 'ประเทศไทย']",,,4ce1222e69136dcb2a76e7e6
